Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J16","ZE05H-8DP-2H","ZE05H8DP2H",171.958000,-146.812000,0.000000,top
"J17","Conn_01x05_Male","PinHeader_1x05_P1.27mm_Vertical",35.814000,-129.286000,90.000000,top
"L1","2.2uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.660000,-112.522000,180.000000,top
"L2","22uH","L_8.1x8.1mm_H4mm",186.182000,-64.262000,180.000000,top
"L3","2.2uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.848000,-55.093000,180.000000,top
"L4","10uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",149.606000,-59.436000,180.000000,top
"L5","6.8uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.768000,-96.012000,0.000000,top
"L6","L_Coupled_1423","PE1812ACC220STS",202.438000,-82.042000,0.000000,top
"Q1","MMBT5551","SOT-23",103.124000,-84.312000,90.000000,top
"Q2","MMBT5551","SOT-23",107.188000,-84.312000,90.000000,top
"Q3","MMBT5551","SOT-23",110.744000,-84.312000,90.000000,top
"Q4","MMBT5401","SOT-23",205.486000,-71.374000,90.000000,top
"Q5","MMBT5401","SOT-23",205.486000,-65.024000,90.000000,top
"Q6","SIRA90DP-T1-GE3","SIRA90DPT1GE3",110.744000,-44.958000,-90.000000,top
"Q7","SIRA90DP-T1-GE3","SIRA90DPT1GE3",122.682000,-44.958000,-90.000000,top
"Q8","SIRA90DP-T1-GE3","SIRA90DPT1GE3",98.806000,-44.958000,-90.000000,top
"Q9","SIRA90DP-T1-GE3","SIRA90DPT1GE3",86.868000,-44.958000,-90.000000,top
"Q10","SIRA90DP-T1-GE3","SIRA90DPT1GE3",173.990000,-40.132000,90.000000,top
"Q11","MMBT5401","SOT-23",109.474000,-68.834000,90.000000,top
"Q12","MMBT5551","SOT-23",59.944000,-117.856000,180.000000,top
"Q13","MMBT5401","SOT-23",59.944000,-121.412000,180.000000,top
"Q14","MMBT5551","SOT-23",197.866000,-65.024000,90.000000,top
"Q15","MMBT5551","SOT-23",197.866000,-71.374000,90.000000,top
"Q16","MMBT5551","SOT-23",101.854000,-68.834000,90.000000,top
"Q17","SM3416SRL","TSOT-23",87.122000,-119.126000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",102.108000,-88.376000,90.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.140000,-88.376000,-90.000000,top
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.172000,-88.376000,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.204000,-88.376000,-90.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.236000,-88.376000,90.000000,top
"R6","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.000000,-90.424000,-90.000000,top
"R7","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.000000,-84.582000,-90.000000,top
"R8","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.756000,-113.030000,-90.000000,top
"R9","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.756000,-116.840000,-90.000000,top
"R10","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",229.362000,-116.840000,90.000000,top
"R11","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.944000,-115.062000,0.000000,top
